,ementa,acao
286,"TORNA OBRIGATÓRIA A INCLUSÃO DA DISCIPLINA EDUCAÇÃO PARA O TRÂNSITO NA GRADE CURRICULAR DAS UNIDADES DE ENSINO FUNDAMENTAL DA REDE PÚBLICA NO MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ E DÁ OUTRAS PROVIDENCIAS.",Incluir a disciplina Educação para o Trânsito na grade curricular do ensino fundamental das escolas públicas municipais.
289,"DISPÕE SOBRE A APREENSÃO, REGISTRO E CADASTRAMENTO DE ANIMAIS DE GRANDE PORTE SOLTO NAS VIAS PÚBLICAS NO MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ, E DÁ OUTRAS PROVIDÊNCIAS.","Apreender, registrar e cadastrar animais de grande porte soltos nas vias públicas do município."
290,"DISPÕE SOBRE A PASSAGEM DE USUÁRIOS OBESOS PELAS CATRACAS DE ÔNIBUS DE TRANSPORTE COLETIVO MUNICIPAL NO MUNICÍPIO DE MARABÁ, E DÁ OUTRAS PROVIDÊNCIAS.",Adequar as catracas dos ônibus de transporte coletivo para permitir a passagem de usuários obesos.
292,"AUTORIZA O PODER EXECUTIVO A INSTITUIR O PROJETO ""CASA ABRIGO DA MULHER"", COM ATENDIMENTO A MULHERES DAS ZONAS RURAL E URBANA DA CIDADE DE MARABÁ, VÍTIMAS DE VIOLÊNCIA DOMÉSTICA.",Criar o projeto “Casa Abrigo da Mulher” para atender mulheres vítimas de violência doméstica das zonas rural e urbana.
293,INSTITUI O BANCO DE ÓCULOS DE CORREÇÃO VISUAL NO MUNICIPÍO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Criar o Banco de Óculos de Correção Visual no município.
297,INSTITUI O PROGRAMA CIDADE COM GRAMA E DÁ OUTRAS PROVIDÊNCIAS.,Criar o programa “Cidade com Grama” no município.
300,"DEFINE O SISTEMA MUNICIPAL DE VIGILÂNCIA SANITÁRIA, CRIA A AGÊNCIA MUNICIPAL DE VIGILÂNCIA SANITÁRIA - AMVS, E DÁ OUTRAS PROVIDÊNCIAS.",Criar a Agência Municipal de Vigilância Sanitária (AMVS) e implantar o sistema municipal de vigilância sanitária.
301,DISPÕE SOBRE A DIVULGAÇÃO DA LISTAGEM DE MEDICAMENTOS DISPONÍVEIS E EM FALTA NA REDE MUNICIPAL DE SAÚDE E DÁ OUTRAS PROVIDÊNCIAS.,Divulgar lista de medicamentos disponíveis e em falta na rede municipal de saúde.
304,CRIA A SECRETARIA MUNICIPAL DA MULHER E DÁ OUTRAS PROVIDENCIAS.,Criar a Secretaria Municipal da Mulher.
305,DISPÕE SOBRE A COLOCAÇÃO DE LIXEIRAS NAS RUAS DO MUNICÍPIO.,Instalar lixeiras nas ruas do município.
314,"DECLARA O CÍRIO DE NOSSA SENHORA DE NAZARÉ NO MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ, PATRIMÔNIO CULTURAL IMATERIAL DO MUNICÍPIO.",Reconhecer o Círio de Nossa Senhora de Nazaré como patrimônio cultural imaterial do município.
316,"DISPÕE SOBRE O INCENTIVO AO CULTIVO DA ""CITRONELA"" E DA ""CROTALÁRIA"", COMO MÉTODO NATURAL DE COMBATE À DENGUE E DÁ OUTRAS PROVIDÊNCIAS.",Incentivar o cultivo de citronela e crotalária como método natural de combate à dengue.
317,"CRIA O FUNDO MUNICIPAL DE ESPORTE E LAZER, O CONSELHO MUNICIPAL DE ESPORTE E LAZER E DÁ OUTRAS PROVIDÊNCIAS.",Criar o Fundo Municipal de Esporte e Lazer e o Conselho Municipal de Esporte e Lazer.
318,"ESTABELECE A ANTECIPAÇÃO DE PARTE DO PAGAMENTO DO 13º (DÉCIMO TERCEIRO) SALÁRIO DOS SERVIDORES PÚBLICOS DO MUNICÍPIO DE MARABÁ, NA FORMA QUE ESPECÍFICA.",Antecipar parte do pagamento do 13º salário dos servidores públicos municipais.
319,"DISPÕE SOBRE A CRIAÇÃO DO PROGRAMA ""PONTO DE ARTE"" E DÁ OUTRAS PROVIDÊNCIAS.",Criar o programa “Ponto de Arte” no município.
321,"DISPÕE SOBRE O DIREITO AO ALEITAMENTO MATERNO NO MUNICÍPIO DE MARABÁ, E DÁ OUTRAS PROVIDÊNCIAS.",Assegurar o direito ao aleitamento materno no município.
323,"ALTERA AS LEIS MUNICIPAIS Nº 13.726, DE 15 DE DEZEMBRO DE 1994 E 17.663 DE 29 DE DEZEMBRO DE 2014, E DÁ OUTRAS PROVIDÊNCIAS.",Alterar as Leis Municipais nº 13.726/1994 e nº 17.663/2014 conforme novas disposições.
324,DISPÕE SOBRE A IMPLANTAÇÃO DO USO DE ENERGIA SOLAR EM TODAS AS ESCOLAS PÚBLICAS MUNICIPAIS.,Implantar uso de energia solar em todas as escolas públicas municipais.
325,TORNA PREFERENCIAL TODOS OS ASSENTOS DE ÔNIBUS DO TRANSPORTE PÚBLICO NA CIDADE DE MARABÁ.,Tornar preferenciais todos os assentos dos ônibus do transporte público municipal.
326,INSTITUI A CRIAÇÃO DE HORTAS COMUNITÁRIAS NAS ESCOLAS QUE INTEGRAM A REDE MUNICIPAL DE ENSINO DO MUNICÍPIO DE MARABÁ.,Criar hortas comunitárias nas escolas da rede municipal de ensino.
327,DISPÕE SOBRE A CRIAÇÃO DE UM CEMITÉRIO E CREMATÓRIO PÚBLICO MUNICIPAL DE ANIMAIS DOMÉSTICOS DE PEQUENO E MÉDIO PORTE.,Criar cemitério e crematório público municipal para animais domésticos de pequeno e médio porte.
328,INSTITUI O TÍTULO EMPRESA AMIGA DA TERCEIRA IDADE E DE AMIGO DA TERCEIRA IDADE E DÁ OUTRAS PROVIDÊNCIAS.,Criar o título “Empresa Amiga da Terceira Idade” e “Amigo da Terceira Idade” para reconhecer apoio à pessoa idosa.
330,INSTITUI O PROGRAMA DE INCENTIVO E DESCONTO DENOMINADO IPTU VERDE NO ÂMBITO DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Criar o programa de incentivo e desconto “IPTU Verde” para imóveis que adotarem práticas ambientais.
331,"DISPÕE SOBRE A CRIAÇÃO DO ""PROJETO EMPRESA AMIGA DA SAÚDE"" NO MUNICÍPIO DE MARABÁ, E DÁ OUTRAS PROVIDÊNCIAS.",Criar o projeto “Empresa Amiga da Saúde” no município.
333,CRIA O SERVIÇO SOCIAL ESCOLAR NAS ESCOLAS PÚBLICAS DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Criar serviço social escolar nas escolas públicas municipais.
334,DISPÕE SOBRE A OBRIGATORIEDADE DA DIVULGAÇÃO DO CARDÁPIO DA MERENDA ESCOLAR PELO EXECUTIVO MUNICIPAL ATRAVÉS DA SECRETARIA MUNICIPAL DE EDUCAÇÃO E DÁ OUTRAS PROVIDÊNCIAS.,Divulgar o cardápio da merenda escolar por meio da secretaria municipal de educação.
335,AUTORIZA O EXECUTIVO MUNICIPAL A REALIZAR LICITAÇÃO PARA FIRMAR PARCERIA COM EMPRESAS PRIVADAS PARA A COLOCAÇÃO DE PLACAS COM NOMES DE VIAS PÚBLICAS NO MUNICÍPIO.,Realizar licitação para firmar parceria com empresas privadas para instalar placas com nomes de vias públicas.
339,"DISPÕE SOBRE A GUARDA DE VEÍCULOS AUTOMOTORES APREENDIDOS PELO DEPARTAMENTO MUNICIPAL DE TRÂNSITO E TRANSPORTE POR DEPOSITÁRIO FIEL, E DÁ OUTRAS PROVIDÊNCIAS.",Regulamentar a guarda de veículos automotores apreendidos pelo DMTU por meio de depositário fiel.
342,DISPÕE SOBRE A PROTEÇÃO AO PROFESSOR DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Implementar medidas de proteção ao professor no município.
343,INSTITUI A SEMANA MUNICIPAL DE PREVENÇÃO DE DOENÇAS RENAIS.,Criar a Semana Municipal de Prevenção de Doenças Renais.
344,"DISPÕE SOBRE O ""ENSINO DE MÚSICA"" NAS ESCOLAS MUNICIPAIS DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.",Implantar ensino de música nas escolas municipais.
346,DISPÕE SOBRE A REGULAMENTAÇÃO DO ESTACIONAMENTO TEMPORÁRIO E ROTATIVO DE VEÍCULOS AUTOMOTORES EM FRENTE AO AEROPORTO NO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Regulamentar o estacionamento temporário e rotativo de veículos em frente ao aeroporto do município.
347,ESTENDE AOS ESTUDANTES DE CURSINHOS PRÉ-UNIVERSITÁRIOS O DIREITO À MEIA PASSAGEM NOS VEÍCULOS DE TRANSPORTE PÚBLICO COLETIVO NO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Conceder meia passagem no transporte coletivo a estudantes de cursinhos pré-universitários.
348,"CRIA O PROJETO CIDADE LIMPA, DESTINADO A INCREMENTAR O PROGRAMA MUNICIPAL DE COLETA SELETIVA DO LIXO RECICLÁVEL.",Criar o projeto “Cidade Limpa” para fortalecer a coleta seletiva de lixo reciclável.
350,"DISPÕE SOBRE AÇÕES SOCIOEDUCATIVAS E PREVENTIVAS NAS ESCOLAS PÚBLICAS MUNICIPAIS DE MARABÁ, PARA SENSIBILIZAÇÃO PARA O COMBATE À VIOLÊNCIA CONTRA O IDOSO E DÁ OUTRAS PROVIDÊNCIAS.",Realizar ações socioeducativas nas escolas públicas para sensibilizar e combater a violência contra o idoso.
351,"AUTORIZA O MUNICÍPIO DE MARABÁ A CRIAR O DEPÓSITO DE SOBRAS DE MATERIAIS DE CONSTRUÇÃO, PARA DOAÇÃO ÀS PESSOAS CARENTES E ENTIDADES E DÁ OUTRAS PROVIDÊNCIAS.",Criar depósito de sobras de materiais de construção para doação a pessoas carentes e entidades.
352,DISPÕE SOBRE O PLANO MUNICIPAL DE ARBORIZAÇÃO URBANA DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Elaborar e implementar o plano municipal de arborização urbana de Marabá.
353,INSTITUI PROGRAMA DE PARCERIA ENTRE O PODER EXECUTIVO MUNICIPAL E A COMUNIDADE PARA REALIZAR OBRAS DE CALÇAMENTO E PAVIMENTAÇÃO ASFÁLTICA.,Implantar programa de parceria entre poder público e comunidade para obras de calçamento e pavimentação asfáltica.
356,INSTITUI A POLÍTICA MUNICIPAL DE RESÍDUOS SÓLIDOS DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Implementar política municipal de resíduos sólidos no município.
358,"INSTITUI SOBRE ORIENTAÇÃO VOCACIONAL PARA OS ALUNOS MATRICULADOS NA REDE MUNICIPAL DE ENSINO, E DÁ OUTRAS PROVIDÊNCIAS.",Oferecer orientação vocacional aos alunos matriculados na rede municipal de ensino.
359,"INSTITUI SOBRE ESTÁGIO DE ESTUDANTES, ESTABELECE VALORES DA BOLSA AUXÍLIO, E DÁ OUTRAS PROVIDÊNCIAS.",Regulamentar estágios de estudantes e estabelecer valores de bolsa-auxílio no município.
361,DISPÕE SOBRE A CRIAÇÃO DA OUVIDORIA NAS UNIDADES DA REDE MUNICIPAL DE SAÚDE E DÁ OUTRAS PROVIDÊNCIAS.,Criar ouvidorias nas unidades da rede municipal de saúde.
362,DISPÕE SOBRE A CRIAÇÃO DO PLANEJAMENTO DE POLÍTICA CICLOVIÁRIA PARA A CIDADE DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Elaborar planejamento de política cicloviária para a cidade de Marabá.
363,"DISPÕE SOBRE A REGULAMENTAÇÃO DAS FEIRAS LIVRES E PERMANENTES, DO COMÉRCIO NELAS REALIZADAS E DO USO DA ÁREA PÚBLICA PARA TAL FIM E DÁ OUTRAS PROVIDÊNCIAS.","Regulamentar as feiras livres e permanentes, o comércio nelas realizado e o uso das áreas públicas correspondentes."
364,DISPÕE SOBRE O PROGRAMA MUNICIPAL DE SAÚDE DA CRIANÇA NO MUNICÍPIO DE MARABÁ.,Implantar programa municipal de saúde da criança no município.
366,"DISPÕE SOBRE A CRIAÇÃO DA SECRETARIA MUNICIPAL DA JUVENTUDE NO MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ (SEMJUV).",Criar a Secretaria Municipal da Juventude (SEMJUV).
367,"ALTERA A LEI MUNICIPAL N° 17.374, DE 18 DE DEZEMBRO DE 2009, E DÁ OUTRAS PROVIDÊNCIAS.",Alterar a Lei Municipal nº 17.374/2009 conforme novas disposições.
368,"DISPÕE SOBRE O PROGRAMA ESPECIAL DE EDUCAÇÃO FÍSICA E ESPORTE AO PORTADOR DE DEFICIÊNCIA FÍSICA NAS ESCOLAS DA REDE MUNICIPAL DE ENSINO DO MUNICÍPIO DE MARABÁ, E DÁ OUTRAS PROVIDÊNCIAS.",Implantar programa especial de educação física e esporte para alunos com deficiência física nas escolas municipais.
371,"AUTORIZA A ELABORAÇÃO E IMPLEMENTAÇÃO DO PLANO MUNICIPAL DE DESENVOLVIMENTO DA LEITURA E LITERATURA, NO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.",Elaborar e implementar o plano municipal de desenvolvimento da leitura e literatura.
372,PROÍBE O USO DE APARELHOS SONOROS OU MUSICAIS NO INTERIOR DE VEÍCULOS DE TRANSPORTE COLETIVO NAS CONDIÇÕES QUE ESPECIFICA E DÁ OUTRAS PROVIDÊNCIAS.,"Proibir o uso de aparelhos sonoros ou musicais no interior de veículos de transporte coletivo, salvo nos casos regulamentados."
375,AUTORIZA O MUNICÍPIO DE MARABÁ A IMPLANTAR O PROGRAMA BOLSA ALUGUEL SOCIAL NA FORMA QUE ESPECIFICA E DÁ OUTRAS PROVIDÊNCIAS.,Implantar o programa Bolsa Aluguel Social para apoio ao pagamento de aluguel de famílias beneficiárias.
377,"CRIA O PROGRAMA EDUCATIVO ""PEQUENO AGRICULTOR"" E DÁ OUTRAS PROVIDÊNCIAS.",Criar o programa educativo “Pequeno Agricultor” nas escolas municipais.
382,INSTITUI O DIA E A SEMANA MUNICIPAL DE MOBILIZAÇÃO PARA O REGISTRO CIVIL DO NASCIMENTO E DÁ OUTRAS PROVIDÊNCIAS.,Criar o Dia e a Semana Municipal de Mobilização para o Registro Civil de Nascimento.
383,"DISPÕE SOBRE A CAMPANHA DE ESCLARECIMENTO A PAIS, ALUNOS E PROFESSORES ACERCA DO CRIME DE PEDOFILIA, JUNTO AOS ESTABELECIMENTOS DE ENSINO E DÁ OUTRAS PROVIDÊNCIAS.",Realizar campanha de esclarecimento sobre o crime de pedofilia em estabelecimentos de ensino.
387,CRIA O PROGRAMA MUNICIPAL DE SAÚDE OFTALMOLÓGICA NA ESCOLA.,Implantar programa municipal de saúde oftalmológica nas escolas.
389,DISPÕE SOBRE A AVALIAÇÃO PERIÓDICA DAS ESTRUTURAS FÍSICAS DAS ESCOLAS DA REDE PÚBLICA MUNICIPAL DE ENSINO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Realizar avaliação periódica das estruturas físicas das escolas da rede pública municipal.
390,CRIA O PROGRAMA DE ATENDIMENTO E ACOMPANHAMENTO DOMICILIAR AO PACIENTE TERMINAL DE CÂNCER NO ÂMBITO DO MUNICÍPIO E DÁ OUTRAS PROVIDÊNCIAS.,Implantar programa de atendimento e acompanhamento domiciliar a pacientes terminais de câncer.
391,"CRIA A INDENIZAÇÃO PARA AJUDA DE CUSTO QUE OBJETIVA A AQUISIÇÃO DE UNIFORME PARA O AGENTE DE SEGURANÇA PATRIMONIAL, GUARDA MUNICIPAL, AGENTE DE TRÂNSITO E FISCAL DE POSTURA DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.","Conceder indenização de ajuda de custo para aquisição de uniforme a agentes de segurança patrimonial, guardas municipais, agentes de trânsito e fiscais de postura."
392,"DISPÕE SOBRE A PUBLICIDADE DE TABELA DE PREÇOS DOS PRODUTOS À VENDA, NA ENTRADA DE RESTAURANTES, LANCHONETES, BARES, CASAS NOTURNAS E SEUS CONGÊNERES, NO MUNICÍPIO DE MARABÁ.","Exigir que restaurantes, lanchonetes, bares, casas noturnas e similares exponham na entrada tabela de preços dos produtos à venda."
393,"OBRIGA OS ESTABELECIMENTOS COMERCIAIS E DE PRESTAÇÃO DE SERVIÇOS A DISPOREM AS ETIQUETAS, PREÇOS, INFORMAÇÕES E DEMAIS REFERÊNCIAS AOS PRODUTOS DE FORMA VISÍVEL, COM LETRAS COMPATÍVEIS COM A FÁCIL LEITURA, INCLUSIVE POR IDOSOS E DEFICIENTES VISUAIS, E DÁ OUTRAS PROVIDÊNCIAS.","Exigir que estabelecimentos comerciais e de serviços exibam etiquetas, preços e informações de forma visível, com letras de fácil leitura inclusive para idosos e deficientes visuais."
394,"DISPÕE SOBRE A ENTREGA EM DOMICÍLIO DE MEDICAMENTOS DE USO CONTÍNUO, E DÁ OUTRAS PROVIDÊNCIAS.",Implantar serviço de entrega em domicílio de medicamentos de uso contínuo.
395,INSTITUI O DEPARTAMENTO DE MICROS E PEQUENAS EMPRESAS NO MUNICÍPIO DE MARABÁ - ESTADO DO PARÁ.,Criar o Departamento de Micros e Pequenas Empresas no município.
396,CRIA O CONSELHO MUNICIPAL DA JUVENTUDE - CMJ E O FUNDO MUNICIPAL DA JUVENTUDE - FUMJUV- DESTINADO A GERIR RECURSOS E FINANCIAR ATIVIDADES DO CONSELHO MUNICIPAL DE JUVENTUDE E DÁ OUTRAS PROVIDÊNCIAS.,Criar o Conselho Municipal da Juventude e o Fundo Municipal da Juventude para gerir recursos e financiar atividades da juventude.
397,"DISPÕE SOBRE A CRIAÇÃO DA AUTARQUIA MUNICIPAL DE TRÂNSITO E TRANSPORTE URBANO DE MARABÁ - AMTTU, SUA ORGANIZAÇÃO, FINALIDADES E COMPETÊNCIAS. DISCIPLINA O CONSELHO MUNICIPAL DE TRANSPORTE DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.",Criar a Autarquia Municipal de Trânsito e Transporte Urbano de Marabá (AMTTU) e regulamentar o Conselho Municipal de Transporte.
398,"INSTITUI NO MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ, A CONSTRUÇÃO DE UM TERMINAL DE CARGAS COM PARCERIA PÚBLICO/PRIVADA.",Construir terminal de cargas por parceria público-privada no município.
399,"ALTERA O ART. 9° DA LEI N° 17.149 DE 30 DE JUNHO DE 2004 E O ART. 25 DA LEI N° 17.609, DE 04 DE NOVEMBRO DE 2013 E DÁ OUTRAS PROVIDÊNCIAS.",Alterar o art. 9º da Lei nº 17.149/2004 e o art. 25 da Lei nº 17.609/2013.
400,"INSTITUI NO MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ, A IMPLANTAÇÃO DE ESCOLAS EM TEMPO INTEGRAL E DÁ OUTRAS PROVIDÊNCIAS.",Implantar escolas em tempo integral no município.
401,"ALTERA A LEI MUNICIPAL N.º 13.726, DE 15 DE DEZEMBRO DE 1994, COM A REDAÇÃO CONFERIDA PELAS LEIS MUNICIPAL N.º 14.048/96 E 17.400/2009, PARA ADEQUAÇÃO A LEI FEDERAL 12.696/2012 E DÁ OUTRAS PROVIDÊNCIAS.",Alterar a Lei Municipal nº 13.726 para adequá-la à Lei Federal nº 12.696/2012.
402,"DETERMINA A FIXAÇÃO DA FRASE ""RESPEITE OS IDOSOS, POIS UM DIA VOCÊ SERÁ IDOSO TAMBÉM"", NAS REPARTIÇÕES PÚBLICAS DA PREFEITURA E NAS AUTARQUIAS MUNICIPAIS.","Fixar a frase “Respeite os idosos, pois um dia você será idoso também” nas repartições públicas e autarquias municipais."
405,DISPÕE SOBRE A IMPLANTAÇÃO DA EQUOTERAPIA.,Implantar serviço de equoterapia no município.
406,"""AUTORIZA O PODER EXECUTIVO A CRIAR INSTITUIÇÃO DE ENSINO SUPERIOR NO MUNICÍPIO DE MARABÁ (UMMA) E DÁ OUTRAS PROVIDÊNCIAS.""",Criar instituição de ensino superior (UMMA) no município.
407,"INSTITUI O CONSELHO MUNICIPAL DO TRABALHO, EMPREGO E GERAÇÃO DE RENDA DE MARABÁ - COMTER, E DÁ OUTRAS PROVIDÊNCIAS.","Criar o Conselho Municipal do Trabalho, Emprego e Geração de Renda de Marabá (COMTER)."
408,"DISPÕE SOBRE O SEMINÁRIO ""ANTI-DROGAS"" PARA OS ALUNOS DA REDE MUNICIPAL DE ENSINO A SER REALIZADO PELA SECRETARIA MUNICIPAL DE EDUCAÇÃO.",Realizar seminário “Anti-Drogas” para alunos da rede municipal de ensino.
409,"INSTITUI O PROGRAMA DE INCENTIVO E DESCONTO DENOMINADO ""IPTU VERDE"" NO ÂMBITO DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.",Criar o programa de incentivo e desconto “IPTU Verde” no município.
410,"DISPÕE SOBRE A CONSTRUÇÃO DE MONUMENTO COMEMORATIVO AO CENTENÁRIO DE MARABÁ E , DÁ OUTRAS PROVIDÊNCIAS.",Construir monumento comemorativo ao centenário de Marabá.
411,"""INSTITUI O PROGRAMA MUNICIPAL DE SAÚDE DA JUVENTUDE - PROSAJ"".",Criar o programa municipal de saúde da juventude (PROSAJ).
412,"DISPÕE SOBRE A MANUTENÇÃO, PELO MUNICÍPIO, DE UM IMÓVEL PARA SERVIR DE APOIO A PACIENTES ORIUNDOS DO MUNICÍPIO DE MARABÁ E QUE ESTEJAM EM TRATAMENTO DE SÁUDE EM BELÉM PELO TFD,E DÁ OUTRAS PROVIDÊNCIAS.",Manter imóvel em Belém como casa de apoio a pacientes de Marabá em tratamento pelo TFD.
413,"INSTITUI O CURSO PRÉ-VESTIBULAR GRATUITO PARA ALUNOS DE BAIXA RENDA ORIUNDOS DE ESCOLAS PÚBLICAS, NO MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ, E DÁ OUTRAS PROVIDÊNCIAS.",Oferecer curso pré-vestibular gratuito para alunos de baixa renda oriundos de escolas públicas.
414,"CRIA A FEIRA DE ARTE, ARTESANATOS, COMIDAS E BEBIDAS TÍPICAS DO MUNICÍPIO DE MARABÁ, E DÁ OUTRAS PROVIDÊNCIAS.","Criar feira de arte, artesanato, comidas e bebidas típicas do município de Marabá."
415,"DISPÕE SOBRE A INSTALAÇÃO DO POLO DE APOIO PRESENCIAL DE MARABÁ, ATRAVÉS DO SISTEMA UNIVERSIDADE ABERTA DO BRASIL (UAB), EM QUE SE OFERTAM CURSOS DE GRADUAÇÃO E PÓS-GRADUAÇÃO A DISTÂNCIA, CELEBRADO ENTRE O MINISTÉRIO DA EDUCAÇÃO E CULTURA (MEC), PREFEITURA MUNICIPAL DE MARABÁ E INSTITUIÇÕES DE ENSINO SUPERIOR (IES) PARCEIRAS.",Instalar polo de apoio presencial da Universidade Aberta do Brasil (UAB) em Marabá para oferta de cursos de graduação e pós-graduação a distância.
416,"TORNA OBRIGATÓRIO O FORNECIMENTO DE LEITE ESPECIAL GRATUITO ÀS CRIANÇAS QUE SOFREM DE INTOLERÂNCIA À LACTOSE E DOENÇAS CELÍACAS NO MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ, E DÁ OUTRAS PROVIDÊNCIAS.",Fornecer leite especial gratuito a crianças com intolerância à lactose ou doença celíaca.
417,"TORNA OBRIGATÓRIO O FORNECIMENTO DE ALIMENTAÇÃO DIFERENCIADA GRATUITAMENTE ÀS CRIANÇAS E ADOLESCENTES QUE SOFREM DE DIABETES, HIPERTENSÃO ARTERIAL, DOENÇAS CELÍACAS E INTOLERÂNCIA À LACTOSE NA MERENDA DE ESCOLAS E CRECHES PÚBLICAS DO MUNICÍPIO DE MARABÁ, ESTADO DO PARÁ, E DÁ OUTRAS PROVIDÊNCIAS.","Oferecer alimentação escolar diferenciada gratuita a crianças e adolescentes com diabetes, hipertensão, doença celíaca ou intolerância à lactose."
420,"DISPÕE ACERCA DA CONSTRUÇÃO DE RAMPAS DE ACESSO NAS PARADAS DE TRANSPORTE COLETIVO, CERCADAS POR GUIAS E SARJETAS PARA PORTADORES DE DEFICIÊNCIA FÍSICA E DÁ OUTRAS PROVIDÊNCIAS.",Construir rampas de acesso nas paradas de transporte coletivo para pessoas com deficiência física.
421,DISPÕE ACERCA DA COLOCAÇÃO DE LIXEIRAS NAS ÁREAS DE PASSEIO PÚBLICO E VIAS PÚBLICAS DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Instalar lixeiras nas áreas de passeio público e vias públicas do município.
422,"DISPÕE ACERCA DA CONSTRUÇÃO OU ADAPTAÇÃO DOS SANITÁRIOS PÚBLICOS, COM RAMPAS DE ACESSO E DEMAIS ADEQUAÇÕES NECESSÁRIAS PARA PORTADORES DE DEFICIÊNCIA FÍSICA NAS PRAÇAS, ÁREAS DE LAZER E ÓRGÃOS PÚBLICOS DO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.","Construir ou adaptar sanitários públicos com acessibilidade para pessoas com deficiência física em praças, áreas de lazer e órgãos públicos."
423,INSTITUI O ESTATUTO DO PEDESTRE NO MUNICÍPIO DE MARABÁ E DÁ OUTRAS PROVIDÊNCIAS.,Instituir o Estatuto do Pedestre no município.
425,"DISPÕE SOBRE INSTALAÇÃO, NAS PRAÇAS MUNICIPAIS, DE EQUIPAMENTOS ESPECIALMENTE DESENVOLVIDOS PARA CRIANÇA COM NECESSIDADES ESPECIAIS E CADEIRANTES E OUTRAS DEFICIÊNCIAS.",Instalar nas praças municipais brinquedos e equipamentos adaptados para crianças com deficiência e cadeirantes.
426,AUTORIZA O MUNICIPIO DE MARABÁ A CONTRATAR OPERAÇÃO DE CRÉDITO COM OUTORGA DE GARANTIA E DÁ OUTRAS PROVIDÊNCIAS.,Contratar operação de crédito com outorga de garantia para o município.
428,"DISPÕE SOBRE GRATUIDADE DO TRANSPORTE ESTUDANTIL ATRAVÉS DO PASSE LIVRE NA CIDADE DE MARABÁ, E DA OUTRAS PROVIDENCIAS.",Conceder gratuidade no transporte estudantil por meio de passe livre no município.
429,DISPÕE SOBRE A OBRIGATORIEDADE DE ASSISTÊNCIA PSICOPEDAGOGICA NAS INSTALAÇÕES DE ENSINO PÚBLICOS MUNICIPAL E INFANTIL E FUNDAMENTAL NO MUNICIPAL DE MARABA E DA OUTRAS PROVIDENCIAS,Tornar obrigatória a assistência psicopedagógica nas instituições de ensino público infantil e fundamental do município.
431,INSTITUI POLÍTICA MUNICIPAL DE DESENVOLVIMENTO DO TURISMO RURAL NO MUNICÍPIO DE MARABÁ E DA OUTRAS PROVIDENCIAS,Instituir política municipal de desenvolvimento do turismo rural no município.
433,DISPÕE SOBRE A SEMANA MUNICIPAL DA AGRICULTURA FAMILIAR E DA OUTRAS PROVIDENCIAS,Instituir a Semana Municipal da Agricultura Familiar.
436,"CRIA NO MUNICÍPIO DE MARABA, O CENTRO OLÍMPICO DO ATLETA DEFICIENTE - COARD E DÁ OUTRAS PROVIDENCIAS.",Criar centro olímpico para atletas com deficiência (COARD) no município.
437,DISPOE SOBRE A CRIAÇÃO DO PROGRAMA DE SAÚDE BUCAL DO IDOSO NO MUNICÍPIO DE MARABÁ E DA OUTRAS PROVIDENCIAS.,Criar programa de saúde bucal para idosos no município.
438,DISPÕE SOBRE AS NORMAS SANITÁRIAS E ESTABELECEM TRATAMENTO SIMPLIFICADO E DIFERENCIADO PARA A PRODUÇÃO PROCESSAMENTO E COM. DE PROD. COM. DE ORIG. ANIMAL E VEGETAL.,"Estabelecer normas sanitárias simplificadas e diferenciadas para produção, processamento e comercialização de produtos de origem animal e vegetal."
439,DISPÕE SOBRE CRIAÇÃO DO CONSELHO MUNIC. DE FOMENTO A ECONOMIA SOLIDÁRIA.,Criar Conselho Municipal de Fomento à Economia Solidária.
